Designator,Mid X,Mid Y,Rotation,Layer
BT1,68.811704,-113.05471,90.0,top
D1,105.881184,-87.009813,270.0,top
D10,291.618684,-87.009813,270.0,top
D11,310.668684,-87.009813,270.0,top
D12,329.718684,-87.009813,270.0,top
D13,348.768684,-87.009813,270.0,top
D14,110.643684,-110.822313,270.0,top
D15,134.456184,-110.822313,270.0,top
D16,153.506184,-110.822313,270.0,top
D17,172.556184,-110.822313,270.0,top
D18,191.606184,-110.822313,270.0,top
D19,210.656184,-110.822313,270.0,top
D2,129.693684,-87.009813,270.0,top
D20,229.706184,-110.822313,270.0,top
D21,248.756184,-110.822313,270.0,top
D22,267.806184,-110.822313,270.0,top
D23,286.856184,-110.822313,270.0,top
D24,305.906184,-110.822313,270.0,top
D25,324.956184,-110.822313,270.0,top
D26,348.768684,-110.822313,270.0,top
D27,82.068684,-129.872313,270.0,top
D28,108.262434,-129.872313,270.0,top
D29,139.218684,-129.872313,270.0,top
D3,148.743684,-87.009813,270.0,top
D30,158.268684,-129.872313,270.0,top
D31,177.318684,-129.872313,270.0,top
D32,196.368684,-129.872313,270.0,top
D33,215.418684,-129.872313,270.0,top
D34,234.468684,-129.872313,270.0,top
D35,253.518684,-129.872313,270.0,top
D36,272.568684,-129.872313,270.0,top
D37,291.618684,-129.872313,270.0,top
D38,317.812434,-129.872313,270.0,top
D39,348.768684,-129.872313,270.0,top
D4,167.793684,-87.009813,270.0,top
D40,82.068684,-148.922313,270.0,top
D41,117.787434,-148.922313,270.0,top
D42,148.743684,-148.922313,270.0,top
D43,167.793684,-148.922313,270.0,top
D44,186.843684,-148.922313,270.0,top
D45,205.893684,-148.922313,270.0,top
D46,224.943684,-148.922313,270.0,top
D47,243.993684,-148.922313,270.0,top
D48,263.043684,-148.922313,270.0,top
D49,282.093684,-148.922313,270.0,top
D5,186.843684,-87.009813,270.0,top
D50,301.143684,-148.922313,270.0,top
D51,324.956184,-153.684813,270.0,top
D52,348.768684,-148.922313,270.0,top
D53,82.068684,-167.972313,270.0,top
D54,110.643684,-167.972313,270.0,top
D55,134.45615,-167.97231,270.0,top
D56,160.649934,-167.972313,270.0,top
D57,193.987434,-167.972313,270.0,top
D58,241.612434,-167.972313,270.0,top
D59,279.712434,-167.972313,270.0,top
D6,210.656184,-87.009813,270.0,top
D60,305.906184,-172.734813,270.0,top
D61,324.956184,-172.734813,270.0,top
D62,344.006184,-172.734813,270.0,top
D7,229.706184,-87.009813,270.0,top
D8,248.756184,-87.009813,270.0,top
D9,267.806184,-87.009813,270.0,top
PWR1,74.915372,-77.261576,0.0,bottom
RST1,85.956802,-81.563874,270.0,top
SW1,97.546802,-85.223874,0.0,top
SW10,283.284302,-85.223874,0.0,top
SW11,302.334302,-85.223874,0.0,top
SW12,321.384302,-85.223874,0.0,top
SW13,340.434302,-85.223874,0.0,top
SW14,102.309302,-109.036374,0.0,top
SW15,126.121802,-109.036374,0.0,top
SW16,145.171802,-109.036374,0.0,top
SW17,164.221802,-109.036374,0.0,top
SW18,183.271802,-109.036374,0.0,top
SW19,202.321802,-109.036374,0.0,top
SW2,121.359302,-85.223874,0.0,top
SW20,221.371802,-109.036374,0.0,top
SW21,240.421802,-109.036374,0.0,top
SW22,259.471802,-109.036374,0.0,top
SW23,278.521802,-109.036374,0.0,top
SW24,297.571802,-109.036374,0.0,top
SW25,316.621802,-109.036374,0.0,top
SW26,340.434302,-109.036374,0.0,top
SW27,73.734302,-128.086374,0.0,top
SW28,99.928052,-128.086374,0.0,top
SW29,130.884302,-128.086374,0.0,top
SW3,140.409302,-85.223874,0.0,top
SW30,149.934302,-128.086374,0.0,top
SW31,168.984302,-128.086374,0.0,top
SW32,188.034302,-128.086374,0.0,top
SW33,207.084302,-128.086374,0.0,top
SW34,226.134302,-128.086374,0.0,top
SW35,245.184302,-128.086374,0.0,top
SW36,264.234302,-128.086374,0.0,top
SW37,283.284302,-128.086374,0.0,top
SW38,309.478052,-128.086374,0.0,top
SW39,340.434302,-128.086374,0.0,top
SW4,159.459302,-85.223874,0.0,top
SW40,73.734302,-147.136374,0.0,top
SW41,109.453052,-147.136374,0.0,top
SW42,140.409302,-147.136374,0.0,top
SW43,159.459302,-147.136374,0.0,top
SW44,178.509302,-147.136374,0.0,top
SW45,197.559302,-147.136374,0.0,top
SW46,216.609302,-147.136374,0.0,top
SW47,235.659302,-147.136374,0.0,top
SW48,254.709302,-147.136374,0.0,top
SW49,273.759302,-147.136374,0.0,top
SW5,178.509302,-85.223874,0.0,top
SW50,292.809302,-147.136374,0.0,top
SW51,316.621802,-151.898874,0.0,top
SW52,340.434302,-147.136374,0.0,top
SW53,73.734302,-166.186374,0.0,top
SW54,102.309302,-166.186374,0.0,top
SW55,126.121802,-166.186374,0.0,top
SW56,152.315552,-166.186374,0.0,top
SW57,185.653052,-166.186374,0.0,top
SW58,233.278052,-166.186374,0.0,top
SW59,271.378052,-166.186374,0.0,top
SW6,202.321802,-85.223874,0.0,top
SW60,297.571802,-170.948874,0.0,top
SW61,316.621802,-170.948874,0.0,top
SW62,335.671802,-170.948874,0.0,top
SW7,221.371802,-85.223874,0.0,top
SW8,240.421802,-85.223874,0.0,top
SW9,259.471802,-85.223874,0.0,top
